id,X,Y
0,-158.5988467418768,-142.54463322196395
0,-157.72125601502484,-142.58642325657596
0,-156.98017940123873,-142.8176614480957
0,-156.2168147689929,-143.0154676119258
0,-154.97704374217028,-143.333071874977
0,-153.68433867150577,-143.53087803880712
0,-152.56993774851915,-143.74261421417458
0,-151.54468889937147,-143.93484837338977
0,-150.66988417482696,-144.07693449107057
0,-149.85915750335417,-144.27195465259322
0,-149.33538906955047,-144.3165306895127
0,-148.56923843499715,-144.31095868489777
0,-147.76965577275425,-144.28031265951563
0,-146.99793313358597,-144.30538668028285
0,-146.41008664671054,-144.38060874258446
0,-145.53528192216604,-144.5171228556503
0,-144.95022143759806,-144.4084687656591
0,-144.1645687868925,-144.31931669182018
0,-143.25076003004344,-144.18280257875432
0,-142.54868744856188,-143.98499641492418
0,-142.02491901475815,-143.8819143295479
0,-141.6627387147875,-143.70361018187003
1,-137.26085506899034,-144.45861680719344
1,-136.3637623259861,-144.53105286718755
1,-135.22150137992483,-144.78736507947448
1,-133.9232243046454,-145.1439733748302
1,-133.12085564009502,-145.33342153173794
1,-132.42992706784332,-145.53958570249046
1,-131.3656741863911,-145.80704192400725
1,-130.123117157261,-146.17479422859284
1,-129.27060045117622,-146.39210240857523
1,-128.6576799435336,-146.60941058855764
1,-128.07261945896562,-146.72085068085633
1,-127.40955090978858,-146.7319946900862
1,-126.6907623144622,-146.54254653317847
1,-126.06669779758968,-146.51468651010381
1,-125.47049330379184,-146.45339445933953
1,-124.96901288844786,-146.42553443626488
1,-123.78774791008203,-146.72085068085633
1,-122.7736430701642,-147.0384549439075
1,-121.50879802257438,-147.2334751054302
1,-120.7565773995584,-147.41735125772294
1,-119.00696795046939,-147.4786433084872
1,-117.49695469982251,-147.52321934540666
1,-116.17081760146843,-147.3950632392632
1,-114.85025250772927,-147.1944710731256
1,-113.9308717462653,-146.5592625470232
1,-113.33466725246745,-146.47289647549172
1,-112.8805488763504,-146.35031237396322
1,-112.23141033871069,-146.2277282724347
1,-111.21730549879285,-146.36145638319306
1,-110.72139708806381,-146.39767441319015
1,-109.56520613046517,-146.35588437857814
1,-108.25021304134094,-146.0940001616763
1,-107.14138412296926,-145.7931119124699
1,-106.26657939842475,-145.46436364018885
1,-103.41371303557898,-145.28048748789607
1,-102.26588008490275,-145.05203529868382
1,-101.7532556603289,-145.14118737252275
1,-101.10690312499665,-145.0687513125286
1,-100.46612259427934,-145.11332734944807
1,-99.75847800818283,-144.98517124330462
1,-99.00068538055193,-144.7344310356326
1,-98.50477696982288,-144.58955891564437
1,-97.6299722452784,-144.55612688795478
1,-96.98361970994615,-144.5449828787249
1,-96.50999931767683,-144.4056827633516
2,-183.6227194675415,-148.43424209994822
2,-183.1212390521975,-148.5846862245514
2,-182.59189861377885,-148.67941030300528
2,-181.87311001845248,-148.69612631685007
2,-180.9202972292989,-148.61254624762609
2,-179.911764393996,-148.45095811379304
2,-179.37685195096245,-148.18350189227624
2,-178.92551957715284,-147.9773377215237
2,-178.54105125872246,-147.60958541693813
2,-178.10643489875767,-147.40899325080053
2,-177.59381047418384,-147.34770120003625
2,-176.90845390654704,-147.119249010824
2,-176.33453743120893,-147.0523849554448
2,-175.84420102509483,-146.86293679853708
2,-175.54888478050336,-146.55647654471576
2,-174.93596427286073,-146.30573633704378
2,-174.3899078205973,-146.05499612937177
2,-174.0054395021669,-145.82097193554458
2,-173.74912728987997,-145.6036637555622
4,-267.75720315072425,-138.23747365462057
4,-266.9158304538693,-138.24861766385044
4,-266.1747538400832,-138.2597616730803
4,-265.361241166303,-138.2597616730803
4,-264.78732469096485,-138.34891374691924
4,-264.04624807717875,-138.36562976076405
4,-263.25502342185825,-138.46592584383282
4,-262.26320660040017,-138.91168621302748
4,-261.57785003276337,-139.20700245761896
4,-260.8256294097474,-139.5524667437448
4,-259.2487521037214,-140.73930372672555
4,-258.0229110884361,-141.118200040541
4,-257.2038264100409,-141.3020761928338
4,-256.48503781471453,-141.34665222975326
4,-255.699385164009,-141.49709635435647
4,-254.85801246715408,-141.703260525109
4,-254.13365186721276,-141.76455257587327
4,-252.70164668117496,-142.06544082507966
4,-251.65968181818246,-142.10444485738418
4,-250.6065729459601,-142.06544082507966
4,-248.5449312384347,-141.8258446266376
4,-246.26040934631212,-141.41351628513254
4,-244.9119842294983,-141.19063610053522
4,-243.1289427527197,-140.95661190670802
4,-240.7441247775283,-140.63343563904192
4,-239.83031602067928,-140.5777155928926
4,-238.77163514384196,-140.55542757443285
4,-236.2196570302026,-140.77830775903018
4,-235.04953606106665,-140.9677559159379
4,-233.2776385935179,-140.8674598328691
4,-231.34972499675104,-140.95103990209313
4,-230.00129987993722,-140.91760787440353
4,-229.26579527076603,-140.84517181440938
4,-227.91179814933727,-141.04019197593206
4,-226.84754526788504,-141.11262803592618
4,-225.47126012799657,-141.50824036358642
4,-224.3178551727054,-141.47480833589682
4,-223.81637475736136,-141.5806764235805
4,-223.11987418049472,-141.7812685897181
4,-222.3007895020996,-141.92614070970643
4,-221.5262808606239,-141.9372847189363
4,-221.04907930829364,-141.90696034114498
4,-220.5331277686857,-141.97510488411208
4,-219.7251281877902,-142.10165903533667
4,-219.238381452311,-142.15033370888457
4,-218.81977925979888,-142.16980357830374
4,-218.09939409128964,-142.17953851301334
4,-217.67105696406793,-142.20874331714208
4,-216.7170333625287,-142.26715292539959
4,-216.0939975411153,-142.29635772952835
4,-215.2373232866719,-142.47158655430087
4,-213.18325206294963,-142.98753809390882
4,-212.7841197398567,-143.007007963328
4,-212.44339702502123,-142.99727302861842
4,-212.0345297672187,-142.96806822448966
4,-211.87877081186537,-142.9583332897801
4,-211.52831316232033,-142.98753809390882
4,-211.2362651210328,-143.04594770216633
4,-210.99289175329318,-143.0751525062951
4,-210.57428956078107,-143.0751525062951
4,-210.34065112775104,-143.05568263687593
4,-209.92204893523893,-143.0654175715855
4,-209.19679629937488,-143.21144159222925
4,-208.88527838866818,-143.26011626577719
4,-208.31091724080272,-143.3185258740347
4,-208.09674867719187,-143.33312827609905
4,-207.8387729073879,-143.41100775377572
4,-207.53698993139076,-143.498622166162
4,-207.18166481449094,-143.55216430706471
4,-206.98209865294447,-143.6057064479674
4,-206.79713489346238,-143.70792326241806
4,-206.5927012645611,-143.7858027400947
4,-206.2325086803065,-143.90748942396453
4,-206.0378099861148,-144.00483877106038
4,-205.95019557372854,-144.0486459772535
4,-205.59000298947393,-144.18493506318768
4,-205.3028224155412,-144.38936869208894
4,-205.0010394395441,-144.51105537595873
4,-204.82581061477157,-144.5402601800875
4,-204.4461481610978,-144.63760952718334
4,-203.93019662148984,-144.7203564722148
4,-203.38017281039834,-144.856645558149
5,-260.6974733036039,-157.97351400071392
5,-258.936719845285,-158.02923404686322
5,-257.72202283922957,-157.9177939545646
5,-255.8052532516926,-157.60576169612833
5,-253.96649172876465,-157.3160174561518
5,-253.09725900883507,-157.42745754845046
5,-250.8796011720917,-157.60576169612833
5,-249.99922444293225,-157.50546561305953
5,-249.1299917230027,-157.5834736776686
5,-248.0601668369355,-157.49432160382966
5,-247.1463580800865,-157.50546561305953
5,-246.00966913864013,-157.80635386226592
5,-244.98442028949242,-157.80635386226592
5,-243.47440703884553,-157.70605777919712
5,-242.27085404201998,-157.41074153460565
5,-241.22331717441253,-157.46646158075498
5,-240.36522846371284,-157.47760558998485
5,-239.4681357207086,-157.40516952999073
5,-238.37602281618166,-157.44417356229525
5,-237.5736541516313,-157.29372943769204
5,-236.765713482466,-157.2045773638531
5,-235.66802857332416,-156.9705531700259
5,-234.96038398722766,-156.91483312387658
5,-234.16915933190714,-156.99284118848564
5,-233.24420656582825,-157.11542529001417
5,-232.35268582743893,-157.25472540538752
5,-230.8928206183265,-157.36616549768618
5,-229.48867545536336,-157.37730950691605
5,-228.5024306385202,-157.58904568228348
5,-227.39917372476344,-157.61690570535816
5,-226.42407291715014,-157.92893796379443
5,-224.8304795972792,-157.95122598225416
5,-223.9055268312003,-158.05152206532296
5,-223.23688627740833,-158.2298262130008
5,-221.264396643722,-158.59200651297147
5,-220.4898880022463,-158.59200651297147
5,-219.83796346229911,-158.63658254989093
5,-219.11917486697274,-158.67001457758053
5,-217.62030562555574,-158.80374268833893
5,-216.73992889639632,-158.9486148083272
5,-215.7815441026278,-158.88732275756294
5,-215.1741955996001,-158.9151827806376
5,-214.20466679660174,-159.0823429190856
5,-213.68647036741297,-159.00433485447653
5,-212.57764144904127,-159.65625939442367
5,-211.9591489367837,-159.94043162978528
5,-211.00633614763012,-159.9961516759346
5,-210.03680734463177,-160.15216780515271
5,-209.39602681391443,-160.33604395744553
5,-208.10332174324995,-160.1800278282274
5,-207.26194904639505,-160.1131637728482
5,-205.84665987420203,-159.63954338057886
5,-204.94399512658285,-159.61168335750418
5,-203.91874627743516,-159.54481930212498
5,-202.82663337290828,-159.5949673436594
5,-202.14127680527147,-159.47795524674578
5,-201.34448014533604,-159.55039130673993
5,-200.60340353154993,-159.45009522367113
5,-199.60044270086198,-159.37765916367698
15,-139.97720731876976,-143.95713639184945
15,-139.82119118955163,-144.17444457183183
15,-139.4478668803511,-144.38060874258437
15,-139.11354660345512,-144.39175275181424
15,-138.86837840039806,-144.3026006779753
15,-138.45047805427808,-144.25802464105584
15,-138.121729781997,-144.3360327056649
15,-137.7316894589517,-144.4028967610441
15,-137.4140851959005,-144.37503673796942
15,-137.08533692361945,-144.32488869643504
15,-136.74544464210854,-144.41404077027397
15,-136.51142044828134,-144.3026006779753
15,-136.2383922221496,-144.3360327056649
15,-135.87621192217895,-144.42518477950384
15,-135.47502758990376,-144.5031928441129
15,-135.1797113453123,-144.54219687641742
15,-134.68380293458327,-144.68706899640569
